period,demand_mwh
2022-12-30 00:00:00+00:00,38913.041666666664
2022-12-31 00:00:00+00:00,39306.333333333336
2023-01-01 00:00:00+00:00,37331.625
2023-01-02 00:00:00+00:00,39445.75
2023-01-03 00:00:00+00:00,40719.291666666664
2023-01-04 00:00:00+00:00,40779.833333333336
2023-01-05 00:00:00+00:00,42114.708333333336
2023-01-06 00:00:00+00:00,42663.833333333336
2023-01-07 00:00:00+00:00,39056.375
2023-01-08 00:00:00+00:00,38822.041666666664
2023-01-09 00:00:00+00:00,41370.333333333336
2023-01-10 00:00:00+00:00,40580.166666666664
2023-01-11 00:00:00+00:00,41129.375
2023-01-12 00:00:00+00:00,41798.0
2023-01-13 00:00:00+00:00,43996.916666666664
2023-01-14 00:00:00+00:00,44001.0
2023-01-15 00:00:00+00:00,40798.333333333336
2023-01-16 00:00:00+00:00,39889.291666666664
2023-01-17 00:00:00+00:00,40908.833333333336
2023-01-18 00:00:00+00:00,41332.291666666664
2023-01-19 00:00:00+00:00,40864.166666666664
2023-01-20 00:00:00+00:00,42285.291666666664
2023-01-21 00:00:00+00:00,41741.25
2023-01-22 00:00:00+00:00,41739.541666666664
2023-01-23 00:00:00+00:00,45839.916666666664
2023-01-24 00:00:00+00:00,45854.0
2023-01-25 00:00:00+00:00,48957.291666666664
2023-01-26 00:00:00+00:00,48780.708333333336
2023-01-27 00:00:00+00:00,48072.208333333336
2023-01-28 00:00:00+00:00,43089.541666666664
2023-01-29 00:00:00+00:00,40355.583333333336
2023-01-30 00:00:00+00:00,52728.458333333336
2023-01-31 00:00:00+00:00,60997.708333333336
2023-02-01 00:00:00+00:00,60973.0
2023-02-02 00:00:00+00:00,57753.041666666664
2023-02-03 00:00:00+00:00,53361.291666666664
2023-02-04 00:00:00+00:00,47213.833333333336
2023-02-05 00:00:00+00:00,41332.375
2023-02-06 00:00:00+00:00,40209.083333333336
2023-02-07 00:00:00+00:00,40878.958333333336
2023-02-08 00:00:00+00:00,43985.0
2023-02-09 00:00:00+00:00,45790.166666666664
2023-02-10 00:00:00+00:00,44405.75
2023-02-11 00:00:00+00:00,47942.0
2023-02-12 00:00:00+00:00,44950.791666666664
2023-02-13 00:00:00+00:00,42752.75
2023-02-14 00:00:00+00:00,41164.333333333336
2023-02-15 00:00:00+00:00,41713.625
2023-02-16 00:00:00+00:00,43249.541666666664
2023-02-17 00:00:00+00:00,50219.25
2023-02-18 00:00:00+00:00,48462.666666666664
2023-02-19 00:00:00+00:00,43016.333333333336
2023-02-20 00:00:00+00:00,40922.291666666664
2023-02-21 00:00:00+00:00,42684.041666666664
2023-02-22 00:00:00+00:00,44307.5
2023-02-23 00:00:00+00:00,43561.791666666664
2023-02-24 00:00:00+00:00,44801.375
2023-02-25 00:00:00+00:00,44510.583333333336
2023-02-26 00:00:00+00:00,42478.25
2023-02-27 00:00:00+00:00,42744.0
2023-02-28 00:00:00+00:00,43377.833333333336
2023-03-01 00:00:00+00:00,44269.291666666664
2023-03-02 00:00:00+00:00,44606.708333333336
2023-03-03 00:00:00+00:00,41280.916666666664
2023-03-04 00:00:00+00:00,39921.75
2023-03-05 00:00:00+00:00,39167.75
2023-03-06 00:00:00+00:00,42513.166666666664
2023-03-07 00:00:00+00:00,44243.125
2023-03-08 00:00:00+00:00,44246.958333333336
2023-03-09 00:00:00+00:00,44258.375
2023-03-10 00:00:00+00:00,43658.75
2023-03-11 00:00:00+00:00,43296.5
2023-03-12 00:00:00+00:00,42937.041666666664
2023-03-13 00:00:00+00:00,40802.5
2023-03-14 00:00:00+00:00,41376.416666666664
2023-03-15 00:00:00+00:00,41566.333333333336
2023-03-16 00:00:00+00:00,42091.083333333336
2023-03-17 00:00:00+00:00,43669.958333333336
2023-03-18 00:00:00+00:00,42882.875
2023-03-19 00:00:00+00:00,43506.083333333336
2023-03-20 00:00:00+00:00,46108.125
2023-03-21 00:00:00+00:00,44126.166666666664
2023-03-22 00:00:00+00:00,43186.333333333336
